,zipcode,median_income,population,county,median_rent,restaurant_count,recycling_bin_count,num_subway_entrances,subway_bracket
0,10001,71244.61,17678,New York County,3400.0,488.0,1.0,51.0,"(6, 72]"
1,10002,30843.9574,70878,New York County,3050.0,509.0,10.0,19.0,"(6, 72]"
2,10003,89998.5339,53609,New York County,3750.0,682.0,7.0,28.0,"(6, 72]"
3,10004,110183.6857,1271,New York County,3876.0,145.0,3.0,6.0,"(0, 6]"
4,10005,115133.2855,1517,New York County,3910.0,72.0,3.0,0.0,0
5,10006,111220.0,972,New York County,3700.0,45.0,2.0,30.0,"(6, 72]"
6,10007,145458.7823,3520,New York County,6325.0,141.0,9.0,26.0,"(6, 72]"
7,10009,56615.2777,56975,New York County,3350.0,311.0,13.0,4.0,"(0, 6]"
8,10010,93702.0061,27322,New York County,3500.0,259.0,0.0,0.0,0
9,10011,92359.4888,45899,New York County,3695.0,455.0,1.0,72.0,"(6, 72]"
10,10012,81316.7066,26464,New York County,3350.0,429.0,8.0,34.0,"(6, 72]"
11,10013,69836.0955,24723,New York County,5195.0,497.0,10.0,14.0,"(6, 72]"
12,10014,98449.9155,32867,New York County,3700.0,424.0,14.0,0.0,0
13,10016,96760.4462,49904,New York County,3400.0,441.0,2.0,0.0,0
14,10017,102523.5025,16231,New York County,3000.0,358.0,2.0,5.0,"(0, 6]"
15,10018,84799.0772,4255,New York County,3495.0,382.0,4.0,26.0,"(6, 72]"
16,10019,84786.4665,39048,New York County,3595.0,695.0,2.0,16.0,"(6, 72]"
17,10021,113800.3846,44173,New York County,3295.0,150.0,0.0,12.0,"(6, 72]"
18,10022,93106.6559,26460,New York County,3252.0,463.0,2.0,3.0,"(0, 6]"
19,10023,108285.5918,59002,New York County,3697.0,197.0,8.0,16.0,"(6, 72]"
20,10024,110998.9883,61485,New York County,3300.0,196.0,0.0,0.0,0
21,10025,65001.2415,96117,New York County,3400.0,232.0,1.0,9.0,"(6, 72]"
22,10026,31541.8106,25925,New York County,2600.0,88.0,6.0,16.0,"(6, 72]"
23,10027,38550.3989,57049,New York County,2600.0,169.0,2.0,10.0,"(6, 72]"
24,10028,105456.4514,40914,New York County,2895.0,198.0,0.0,16.0,"(6, 72]"
25,10029,32876.522000000004,76271,New York County,3375.0,208.0,3.0,10.0,"(6, 72]"
26,10030,28525.1218,26058,New York County,1800.0,37.0,4.0,17.0,"(6, 72]"
27,10031,31526.0287,59450,New York County,2000.0,118.0,1.0,6.0,"(0, 6]"
28,10032,29535.9721,54744,New York County,1900.0,114.0,3.0,23.0,"(6, 72]"
29,10033,36462.7783,59049,New York County,1950.0,120.0,0.0,0.0,0
30,10034,37865.7046,37785,New York County,1450.0,111.0,6.0,24.0,"(6, 72]"
31,10035,23301.5744,31078,New York County,2115.5,87.0,5.0,8.0,"(6, 72]"
32,10036,62393.3306,18660,New York County,3450.0,608.0,0.0,0.0,0
33,10037,40079.7036,16994,New York County,1725.0,31.0,3.0,9.0,"(6, 72]"
34,10038,55937.3774,15435,New York County,3325.0,207.0,3.0,5.0,"(0, 6]"
35,10040,37107.0105,46585,New York County,1600.0,77.0,0.0,0.0,0
36,10065,108154.9505,31500,New York County,4300.0,179.0,1.0,18.0,"(6, 72]"
37,10069,54236.0986,1843,New York County,4100.0,3.0,1.0,6.0,"(0, 6]"
38,10075,112267.5519,25187,New York County,2750.0,93.0,0.0,0.0,0
39,10128,105186.9788,59434,New York County,2997.5,148.0,0.0,0.0,0
40,10280,98937.8355,4298,New York County,3500.0,30.0,4.0,4.0,"(0, 6]"
41,10305,58937.657999999996,37014,Richmond County,2200.0,93.0,2.0,4.0,"(0, 6]"
42,10306,75212.0632,54812,Richmond County,2300.0,113.0,7.0,10.0,"(6, 72]"
43,10312,84524.3656,55963,Richmond County,2350.0,78.0,2.0,6.0,"(0, 6]"
44,10314,78413.7436,85260,Richmond County,2300.0,189.0,4.0,0.0,0
45,10458,25642.1721,77840,Bronx County,1425.0,193.0,12.0,11.0,"(6, 72]"
46,10461,47715.8304,48081,Bronx County,1699.0,156.0,4.0,11.0,"(6, 72]"
47,10462,46085.2485,71130,Bronx County,1519.0,139.0,1.0,5.0,"(0, 6]"
48,10463,52301.5618,62456,Bronx County,2025.0,124.0,6.0,7.0,"(6, 72]"
49,10465,61446.3421,41282,Bronx County,1850.0,82.0,1.0,0.0,0
50,10468,28765.1143,76073,Bronx County,1500.0,104.0,5.0,28.0,"(6, 72]"
51,10471,56909.8136,18127,Bronx County,1800.0,51.0,6.0,0.0,0
52,11101,39955.099,22556,Queens County,2835.0,285.0,0.0,21.0,"(6, 72]"
53,11104,50944.0617,29376,Queens County,1875.0,108.0,0.0,10.0,"(6, 72]"
54,11109,117750.0,843,New York County,2863.0,6.0,0.0,16.0,"(6, 72]"
55,11201,92174.8101,48101,Kings County,3227.0,429.0,12.0,44.0,"(6, 72]"
56,11204,42763.549000000006,74185,Kings County,1675.0,136.0,0.0,12.0,"(6, 72]"
57,11205,42903.7942,35648,Kings County,2700.0,154.0,7.0,0.0,0
58,11209,56906.5301,69646,Kings County,1895.0,268.0,2.0,10.0,"(6, 72]"
59,11211,37632.4577,84434,Kings County,2941.5,377.0,6.0,34.0,"(6, 72]"
60,11213,35084.8797,65932,Kings County,2200.0,110.0,2.0,13.0,"(6, 72]"
61,11215,81331.0535,59307,Kings County,2700.0,339.0,5.0,23.0,"(6, 72]"
62,11216,37290.3205,55021,Kings County,2300.0,185.0,0.0,12.0,"(6, 72]"
63,11217,72610.5963,35641,Kings County,3100.0,284.0,5.0,41.0,"(6, 72]"
64,11218,48010.6089,75418,Kings County,2100.0,151.0,0.0,16.0,"(6, 72]"
65,11221,34005.1582,75020,Kings County,2400.0,142.0,0.0,4.0,"(0, 6]"
66,11222,54366.9033,40003,Kings County,2900.0,227.0,9.0,11.0,"(6, 72]"
67,11223,39420.9802,74659,Kings County,1950.0,174.0,1.0,26.0,"(6, 72]"
68,11226,38763.3706,106461,Kings County,1712.5,211.0,1.0,14.0,"(6, 72]"
69,11228,55200.2725,40169,Kings County,2200.0,56.0,0.0,4.0,"(0, 6]"
70,11229,49910.6032,80407,Kings County,2200.0,129.0,2.0,0.0,0
71,11230,47496.1618,88449,Kings County,1700.0,111.0,1.0,20.0,"(6, 72]"
72,11231,73074.9877,33174,New York County,3200.0,166.0,5.0,12.0,"(6, 72]"
73,11234,67952.9473,81033,Kings County,2200.0,149.0,0.0,0.0,0
74,11235,44729.670999999995,79197,Kings County,2000.0,173.0,3.0,16.0,"(6, 72]"
75,11238,61468.5107,49085,Kings County,2900.0,250.0,6.0,29.0,"(6, 72]"
76,11354,50019.4132,54286,Queens County,2300.0,464.0,0.0,0.0,0
77,11355,38623.9557,74434,Queens County,2000.0,222.0,4.0,10.0,"(6, 72]"
78,11356,67807.8323,20443,Queens County,2275.0,58.0,0.0,0.0,0
79,11357,74096.6311,39650,Queens County,2500.0,77.0,0.0,0.0,0
80,11358,66312.1712,37044,Queens County,2200.0,156.0,2.0,0.0,0
81,11360,72853.7515,18363,Queens County,2650.0,22.0,2.0,0.0,0
82,11361,70983.2093,28648,Queens County,2200.0,133.0,1.0,0.0,0
83,11365,61097.32,37503,Queens County,2500.0,54.0,6.0,0.0,0
84,11367,53564.6755,39791,Queens County,1900.0,53.0,6.0,0.0,0
85,11374,49707.9331,39224,Queens County,1850.0,95.0,1.0,7.0,"(6, 72]"
86,11375,69446.0737,70142,Queens County,2022.5,209.0,3.0,11.0,"(6, 72]"
87,11385,47469.8714,95262,Queens County,2200.0,292.0,1.0,2.0,"(0, 6]"
88,11432,50291.2065,54915,Queens County,2400.0,186.0,1.0,22.0,"(6, 72]"
89,11435,44721.7965,47317,Queens County,1950.0,111.0,1.0,24.0,"(6, 72]"
90,11693,54873.712999999996,11120,Queens County,1600.0,36.0,0.0,1.0,"(0, 6]"
